place_id,name,address,year_built,description,features,indoor_outdoor,wifi,seating,restroom,coord,place_photo,hours,neighborhood,wheelchair_accessible,url
11,Pine Center,100 Pine Street,1972,"This urban garden is tucked between very tall buildings. Itâ€™s a quiet little gem of a space, accessible through the lobby to the rear or via an obscure passage off Front Street. Travertine and black granite flooring, an art piece, plants in containers and designer tables and chairs. Food services on site. Receives no sun, but light colored materials and reflected light stave off gloom. CafeÌÅ closes at 3 p.m., building and garden at 6:30 p.m.","Garden, Art, Plants",Outdoors,Yes,Yes,Yes,"37.792616, -122.398759",https://www.dropbox.com/s/zki6l69at5ow7rq/100%20Pine%20Street.jpg?dl=0,Closes at 6:30pm,Financial District,Yes,https://42floors.com/us/ca/san-francisco/100-pine-st
12,Fifty California Building,50 California Street,1972,"This snippet, occupying the building setback, is an extension of the design and material from the open space across the street. Variously shaped planters, with ledges at sitting height, have been placed on rose-colored granite and green stone pavement. A small cafeÌÅ with outdoor seating enlivens the space. Open at all times.",Cafe,Outdoors,Yes,Yes,Yes,"37.794302, -122.397360",https://www.dropbox.com/s/sa3vfrknjfqnc3u/50%20California%20Street.jpg?dl=0,Open 24 hours,Financial District,Yes,https://www.yelp.com/biz/50-california-street-building-san-francisco
13,One California Building,1 California Street,1970,"The snippets around this building feature large stone planters of triangular, rectangular and round shapes along Market and California streets, some with trees and benches. The pavement consists of green stone and rose-colored granite. The cafeÌÅ in the building fills some of the open space with its tables and chairs. Open at all times.",Cafe ,Outdoors,Yes,Yes,Yes,"37.793511, -122.397140",https://www.dropbox.com/s/pfyxwpigx6t9qq0/One%20California%20Street.jpg?dl=0,Open 24 hours,Financial District,Yes,http://onecaliforniastreet.com/home.axis
14,Building and Plaza,101 California Street,1982,"Three tall, triangular, stepped pyramids, built around the garage exhaust vents, dominate this urban garden within a large plaza. The steps are clad with granite, and are used for seating and as planting beds. There is a granite fountain, with gushing water creating a pleasant sound. Two restaurants on the buildingâ€™s ground floor open to the plaza with outdoor seating. Open at all times. Across the street, at 100 California Street, large planters have been placed on the sizable building setbacks. With some seating, the space could be easily converted into an attractive urban garden.","Large Plaza, Fountain, Restaurants on site",Outdoors,No,Yes,"Yes, nearby","37.792990, -122.397870",https://www.dropbox.com/s/8xv7laf61j4g9ys/101%20California%20Street.jpg?dl=0,Open 24 hours,Financial District,Yes,https://foursquare.com/v/101-california-street/4a673ac8f964a52004c91fe3
15,One Front Street (Shaklee Terraces),444 Market St.,1980,"This plaza leading to the Market Street building entrance is an extension of the brick sidewalk of Market Street. It has no seating, and except for five small palm trees in planters, it offers no amenity. Adjacent to Mechanics Plaza. Three food services are nearby. Open at all times. Needed improvements: landscaping and seating.",Views,Outdoor,Yes,Limited,Yes,"37.791635, -122.398805",https://www.dropbox.com/s/k47zvmj7srbwfkv/Shaklee%20Terraces.jpg?dl=0,Open Wed. only 24 hours,Financial District,Yes,https://42floors.com/us/ca/san-francisco/1-front-st
16,One Bush Plaza,1 Bush Street,1959,"A beautifully designed and maintained urban garden surrounds the first postwar high-rise building â€” a â€œtower in a park.â€ù It features river rocks embedded in concrete, inlaid with a striking design of bands of grey slate. A fountain sculpture spouts and drips water. The planting consists of cherry, willow and pine trees and evergreen ground cover. The garden lies below street level and resembles a moat. It is for visual enjoyment only, no seating has been provided, the river rocks are hard to walk on and no food service is available. Needed improvements: seating in garden, food service On sunny days the stone walls along the Sansome Street sidewalk (snippets) are well used for lunching and peoplewatching. Open at all times.","Urban Garden, Fountain, Resembles a Moat",Outdoor,No,No,No,"37.791208, -122.399951",https://www.dropbox.com/s/da5iogrphw447bv/One%20Bush%20Plaza.jpg?dl=0,Open 24 hours,Financial District,Yes,https://www.yelp.com/biz/one-bush-plaza-san-francisco
17,Citigroup Center Atrium ,1 Sansome Street,1983,"This greenhouse is built into the shell of the 1912 London-Paris Bank building, with a glass roof and two-story arches opening to Sansome and Sutter Streets. The material for the arches, the walls, the entrance steps and the floor is white marble with additional black marble bands and a round black polished marble fountain in the center. Palm trees and other plants soften the severity of the space. An Art Deco bronze sculpture graces a marble niche. A food service opens to the space and cafÃ© tables and chairs have been provided. There is also a seating area inside the building lobby.","Greenhouse, Fountain, Palm Trees, Marble, Sculptures",Outdoor and Indoor,Yes,Yes,Yes,"37.790723, -122.401112",https://www.dropbox.com/s/4inr4nkfu41bue3/Citigroup%20Atrium.jpg?dl=0,Open 24 hours,Financial District,Yes,https://www.yelp.com/biz/citigroup-center-atrium-san-francisco
18,Trinity Alley,333 Bush Street,1983,"The adjacent office tower converted Trinity Alley into a pedestrian walkway (connecting Bush to Sutter Street) by removing the curb and lining the roadbed with small granite pavers, and adding a narrow plaza by creating narrow platform steps up in the side setback of the building. Five food services open out to the plaza, and have put out chairs and tables during business hours. Open at all times. Needed improvements: seating for general public.",Restaurants,Outdoors,No,"Yes, during businesss hours","Yes, nearby","37.790306, -122.402583",https://www.dropbox.com/s/6ppcywgef1v7xoc/Trinity%20Alley.jpg?dl=0,Open 24 hours,Financial District,Yes,https://www.facebook.com/pages/Trinity-Alley-San-Francisco/259501484075110
19,Crocker Galleria,50 Post Street ,1982,"There are two rooftop sun terraces here that are open whenever the Galleria is open. One sun terrace is on top of the historic bank building at Montgomery and Post Streets, and is accessed from a staircase on the easterly side of the Galleriaâ€™s top floor or from an elevator at the corner of the bank building.The terrace has ample seating on planter ledges and benches, but no tables. An attractive fountain is out of service. A second sun terrace can be accessed from an obscure staircase in the northwest corner of the Galleriaâ€™s top floor. It is a quiet refuge, offering sunny and shady places, many benches, a trellis and planters. There are many food services in the Galleria. Restrooms are on the third floor. Needed improvements: repair fountain, better signage to the second terrace.","Fountain, Restaurants",Outdoors,Yes,Yes,Yes,"37.789738, -122.403019",https://www.dropbox.com/s/g8uzwlby94qlfum/Crocker%20Galleria.jpg?dl=0,M-F: 10am-6pm Sat: 10am-5pm,Financial District,Yes for one of the terraces,https://www.yelp.com/biz/crocker-galleria-san-francisco-2
20,McKesson Plaza,1 Post Street ,1969,"Snippets with stand-up tables and square concrete blocks at sitting height next to food services. A few planters with boxwood were created when the arcade of the building was partially enclosed. They are adjacent to the steps around the hexagonal fence of the Montgomery BART station entrance, which are very well used at lunchtime on a sunny day. Open at all times.",Open 24 hours,Outdoors,No,Limited,"Yes, during business hours","37.788970, -122.402687",https://www.dropbox.com/s/j4ikkf9gamjuhrt/McKesson%20Plaza.jpg?dl=0,Open 24 hours,Union Square/Financial,Yes,https://www.yelp.com/biz/mckesson-plaza-san-francisco
21,Market Street ,595 Market Street ,1979,"The approval of this building called for two triangular entryway plazas. One, at Second and Stevenson Streets, largely has been occupied by a fenced restaurant seating area. Outside, a 10-foot-wide edge of the plaza faces Stevenson Street. It has good sun exposure, and with the addition of benches and landscaping could become a pleasant public sitting area. Needed improvements: public seating.",Restaurants,Outdoors,Yes,Limited,"Yes, nearby","37.789419, -122.400768",https://www.dropbox.com/s/8p2dq95wzr3avel/595%20Market%20Street.jpg?dl=0,Not Listed,Union Square/Financial,Yes,https://42floors.com/us/ca/san-francisco/595-market-st
22,Uber Building,555/575 Market St.,1965/1975,The beautifully landscaped urban garden takes up the space between two highrises. A stylized version of a mountain stream runs through it. Unfortunately this is for visual enjoyment only since access is limited to office tenants only. Benches placed at the Market Street entrance and on the circular platform that floats above the space would make it more enjoyable. Needed improvements: public seating.,Water feature,Outdoor,No,No,No,"37.789860, -122.400345",https://www.dropbox.com/s/p8zkv1f2x3uybgo/555%20Market%20street.jpg?dl=0,Open 24 hours,Financial,Yes,https://42floors.com/us/ca/san-francisco/555-market-st
23,First Market Tower,525 Market St,1973,"This urban garden features a double granite fountain with granite benches in between to enjoy the sight and sound of flowing water. The backside of one of the fountains has a tiered semicircular planter filled with bushes and ferns. A continuous metal bench with a planter behind it sheilds the space from the Market Street sidewalk. The adjacent restaurant has placed tables and chairs into the open space. Open at all times. At the back of the urban garden is a set of stairs leading up to an upper-story building lobby. There are some large plaza areas edged with landscaped planters, but no seating. These spaces easily could be turned into a pleasant sun terrace. Needed improvements: tables, chairs, landscaping, signage","Garden, Fountain, Open 24 hours",Outdoor,No,No,No,"37.790735, -122.399175",https://www.dropbox.com/s/9pa2c5gpb393qiv/525%20Market.jpg?dl=0,Open 24 hours,Financial,Yes,https://foursquare.com/v/525-market/4ac373fff964a5205d9b20e3
